id,track,release_date,duration_sec,spotify_url,name,description
4VYA0hxnzjKKtL9QCHDeDr,1,2019-11-18,113.58,https://open.spotify.com/episode/4VYA0hxnzjKKtL9QCHDeDr,Trailer,Baywatch Berlin startet am 22. November. Mit Klaas Heufer-Umlauf und den anderen.
0pf0XgtnCzNAlwq7bmWTUz,2,2020-05-14,1333.499,https://open.spotify.com/episode/0pf0XgtnCzNAlwq7bmWTUz,Bonus: Anruf von Toni Kroos,"Gut Kick in die Runde! Diese Sonderfolge von „Baywatch Berlin“ kommt mit hohem Besuch. Der Weltmeister und 4-malige Champions League Sieger Toni Kroos beehrt uns in der Leitung. Im Gepäck hat er Infos zu seinem Podcast „Einfach mal Luppen“ mit seinem Bruder, Felix Kroos. Zudem steht er Rede und Antwort dazu, ob es bei Real Madrid soziales Abgeficke im Videocall gibt, ob er seinen eigenen Bruder für die Hertha hypnotisieren kann und wie das eigentlich mit Trash Talk im Geisterspiel läuft. „Einfach mal Luppen“ gibt es ab sofort, überall wo es Podcasts gibt.    Auf Spotify: https://bit.ly/bwb-luppenaufspotify  Auf Apple Podcasts: https://bit.ly/bwb-luppenaufapple  RSS-Feed: https://einfach-mal-luppen.podigee.io/feed/mp3"
1KLAaERQGMmMxEtjNmojpj,3,2021-10-22,2603.598,https://open.spotify.com/episode/1KLAaERQGMmMxEtjNmojpj,Schmitt Vs. Mentalist (feat. Timon Krause),"Jetzt wird die Katze aus dem Sack gelassen, nun ja vielleicht eher der Name von Schmittis zweiter Katze. Um Schmitti davon zu überzeugen, dass es keinen faulen Zauber braucht, die PIN seines Rasenmähroboters zu erraten, haben Klaas und Jakob niemand Geringeres als die menschgewordene Dechiffriermaschine Timon Krause eingeschifft. Werden Sie Zeuge, wie die Schreierei der letzten Folgen mit einem stummen Glucksen von Thomas Schmitt endet und wie Alufolie, sinnvoll eingesetzt, selbst Zweiflern das letzte Bisschen Sprache verschlägt.  Viel Spaß mit der Baywatch Berlin Sonderausgabe Schmitt Vs. Mentalist mit Timon Krause."
