id,track,duration_total_min,duration_min,duration_sec,name
4Zn4TzTiXcMYYvlIACB9B7,35,1819.95,30,20,Der Preis des Lebens
36yg0MfgOFYyy4Hp5llGJG,63,3724.26,62,4,Kosmetik und Pflege
6ZHQrPBCasBQFcSE7d6fLh,73,1483.64,24,44,Jörn & Olaf
6abRWOoRVrEzhfqYOHqXjB,81,3144.18,52,24,Das Jahr des Menschen
2W4OitoxsU8C2OMtgWoQqw,96,1586.13,26,26,About You
0JKyaPUsjYXc2m8QmMjLpA,103,3644.04,60,44,New York Cheesecake
5Mm3vlDkS39BAeuiQ2aVnw,105,250.73,4,11,Köln-Brach
7cbMy8QDOrqihwG5OcOS8u,113,1854.2,30,54,Zwei hässliche Deutsche tanken Super
3CJ3lCZrJfKiQFMXvthW3r,145,1494.52,24,55,Die große Verbrauchersendung
